"Y","A","LIMIT_BAL","SEX","EDUCATION","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6"
1,0,170000,0,1,27,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,140000,0,1,25,1,-2,-2,-1,-1,-1,-74,-770,-1466,522,142,-554,0,0,3000,0,0,0
1,1,270000,1,1,36,0,0,0,2,0,0,78630,68921,46512,40335,37165,22156,10076,4018,14,2051,2000,0
0,1,200000,0,1,45,-1,-1,-1,-2,-2,-2,2377,221,0,0,0,0,221,0,0,0,0,0
0,0,80000,0,1,23,0,0,0,0,0,0,24215,30798,30350,32469,32663,34909,10000,2000,2500,2000,3000,1000
0,1,60000,0,3,48,0,0,0,0,0,0,49890,51060,52236,54362,55458,56767,2000,2000,3000,2000,2200,2500
0,1,30000,0,3,44,-1,-1,2,0,0,0,1072,5122,4440,4050,3660,3660,4440,0,0,0,0,0
0,0,170000,1,1,27,0,0,0,0,0,0,127902,131631,133090,130937,134043,137023,5631,5090,4937,5043,5023,11939
0,0,30000,1,1,28,2,2,2,2,0,0,9799,10056,9815,7576,5746,3900,2350,2000,0,144,128,39
0,0,200000,0,2,34,0,0,0,-2,-2,-2,19252,10000,0,0,0,0,1000,0,0,0,0,0
0,0,50000,0,1,23,-1,-1,-2,-2,-2,-2,2332,0,0,0,0,0,0,0,0,0,0,0
1,1,350000,0,2,44,2,2,-2,-2,-2,-1,52949,-4577,-4577,-2699,-2699,297301,3682,0,1878,0,300000,0
1,0,100000,1,1,27,0,0,0,0,0,0,55734,52557,33415,28776,17580,6441,1631,1286,200,645,909,200
0,0,150000,1,1,36,2,2,2,-2,-2,-2,167094,86193,-25443,-46627,-46627,-46627,5068,9,0,0,0,0
0,0,80000,1,2,26,0,0,0,0,0,0,80233,79849,77796,30300,29922,29120,4000,2300,1300,1300,1500,1500
1,0,30000,0,2,22,0,0,0,0,0,0,30123,30299,27758,22720,19136,14452,1600,2000,2000,614,924,0
1,1,50000,0,3,23,0,0,0,0,0,0,33239,33199,33757,23332,23782,16816,6010,5008,3013,5035,5001,5002
0,0,400000,0,1,37,-1,0,-1,0,0,0,10677,31405,26717,25434,6973,9899,31008,26862,3000,2000,3000,0
1,1,180000,1,3,47,0,0,0,0,2,0,67011,69935,72031,77597,72079,66310,4000,4000,7501,0,3001,10000
1,1,200000,1,1,52,0,0,0,0,0,0,115702,113576,109812,104567,100541,96495,5517,5381,3838,3589,3397,3296
0,0,50000,1,1,29,0,0,0,0,0,0,16303,47714,48916,19894,20572,21230,32000,2000,1000,1000,1000,2000
0,0,200000,1,1,26,-2,-2,-1,0,0,0,0,1516,11533,9463,3884,3033,1516,11533,189,1000,2050,11300
0,0,80000,1,1,25,0,0,0,-1,0,0,20708,26286,18209,5471,6896,9506,6545,8807,5500,4000,3500,1000
0,0,240000,0,1,33,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,70000,0,2,24,0,0,-2,-1,-1,0,36175,0,0,680,69257,68557,0,0,680,71867,9812,2900
0,1,140000,0,2,24,-1,-1,-2,-2,-1,-1,2515,0,0,0,2243,5530,0,0,0,2243,5530,4441
0,0,10000,1,3,31,0,0,0,0,0,0,5062,5687,6132,5851,5735,6087,1259,1100,197,362,1000,1000
1,0,50000,1,2,36,0,0,0,-2,-2,-2,48612,50525,0,0,0,0,3000,0,0,0,0,0
0,1,500000,0,1,49,-2,-2,-2,-2,-2,-2,27936,2305,9073,5714,31868,3663,2305,9083,6105,31868,3663,8110
0,1,210000,1,1,30,-1,-1,-1,-1,0,0,4830,0,1000,15385,20302,25112,0,1000,15385,5302,5112,4213
1,0,50000,0,1,23,1,2,0,0,0,0,50638,49484,45095,9299,3054,0,0,2155,1000,1500,0,3294
0,1,180000,0,2,43,-2,-2,-2,-2,-2,-2,1091,2062,0,0,6017,0,2062,0,0,6017,0,0
0,0,290000,1,1,41,0,0,0,0,0,0,275367,255049,247090,242309,238609,238712,10580,9006,8507,10902,8600,8671
0,1,500000,0,1,46,-2,-2,-2,-2,-2,-2,3982,3700,12953,9019,4236,-31,3718,13023,9070,4257,0,0
1,0,100000,0,2,52,0,0,0,0,0,0,39555,40550,41587,42602,43327,47950,1955,1992,2007,1732,5506,0
0,1,120000,1,1,50,1,-2,-2,-1,0,-1,0,-2008,-4016,4016,2008,8299,0,0,10040,0,8299,0
0,0,50000,0,1,47,-1,-1,-1,-1,-1,-1,390,390,390,2728,0,780,390,390,2728,0,780,0
0,1,50000,1,3,45,0,0,0,0,0,0,45982,41372,18059,18020,18028,17744,1421,1500,629,672,626,2000
0,1,200000,0,2,27,0,0,-1,-1,-2,-2,37076,18382,18834,0,0,0,5000,18834,60000,0,0,0
0,0,380000,1,2,42,-2,-2,-2,-2,-2,-2,2588,38981,6267,19774,12297,2700,39529,6930,19873,12361,2713,5291
0,0,100000,0,2,24,2,0,0,2,2,-1,17938,20486,21644,9209,6495,78080,2842,3000,0,6000,80900,0
0,1,280000,1,1,60,-1,2,2,-2,-1,-1,495,109,-780,-1170,1473,558,4,390,0,3033,558,1320
0,1,20000,1,3,56,0,0,0,0,0,0,15552,16596,17609,17329,17850,18046,1300,1300,700,800,602,600
0,0,220000,0,1,31,0,0,0,0,0,0,124281,84575,93180,99097,106391,97337,10000,10000,8000,10000,10000,12097
0,0,130000,1,3,38,0,0,0,0,-1,0,6360,5375,5476,6931,99416,99702,1088,1189,2646,104590,3358,3314
0,1,50000,1,1,24,2,0,0,2,0,0,5524,6474,8896,7088,7109,6898,1500,2700,0,500,500,500
1,1,20000,0,3,56,1,2,0,0,2,2,11276,10803,11528,13524,13508,13149,0,1204,2200,500,0,700
0,0,190000,0,2,28,0,0,0,0,0,0,4639,4718,5610,7300,4694,2250,1100,1610,2310,2000,1000,300
0,0,50000,1,2,29,3,2,2,0,0,0,32750,33532,32597,19576,19034,19525,1600,7,900,700,800,800
0,1,320000,1,2,32,0,0,0,0,0,0,21460,23412,25331,25741,26800,28817,3000,3000,1500,2000,3000,2000
0,0,180000,1,1,26,0,0,-2,-2,-2,-2,8516,0,0,0,0,0,0,0,0,0,0,0
0,0,150000,0,2,39,0,0,0,0,0,0,16878,7632,33019,31366,31709,42632,5000,30000,3000,5000,15000,6000
1,0,50000,1,2,26,1,4,3,2,2,3,13294,12799,12311,11816,14014,13506,0,0,0,2394,0,0
1,1,50000,1,1,51,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,1,500000,0,1,38,-1,-1,-1,-1,-1,-1,7789,9656,7477,8370,8890,6424,9666,7488,8370,8890,6424,21032
0,1,220000,0,3,40,0,0,0,0,0,0,220091,203554,207953,156699,157883,161208,7797,8201,7302,5437,5651,5683
0,0,20000,1,2,24,0,0,2,0,0,0,14558,17212,16635,16678,17268,17563,3200,0,600,1840,800,626
1,1,80000,0,3,30,2,0,0,2,2,2,71165,72123,76696,79659,80079,79657,2700,5800,4800,1800,1000,2800
0,1,370000,1,2,33,1,-2,-2,-1,2,2,0,0,0,361,211,3659,0,0,422,0,3448,0
0,0,120000,0,1,26,0,0,0,0,0,0,115520,98551,84797,66398,44428,31738,5001,5076,5000,3042,2110,600
0,0,20000,0,1,22,0,0,2,2,2,2,12476,14951,14426,16471,15909,17151,3000,0,2600,0,1500,0
0,0,140000,1,1,28,0,0,0,-1,-1,-1,23702,23917,24460,435,435,435,1457,1000,435,435,435,435
0,0,50000,1,2,25,0,0,0,0,0,0,47034,48442,49173,49290,48910,48910,2500,2200,1700,1000,0,0
1,0,100000,0,1,28,0,0,0,0,0,0,77007,80708,84401,85786,65345,67205,5000,5000,4200,3000,3000,3000
0,0,450000,0,1,31,-1,-1,-2,-2,-1,0,2609,0,0,0,17855,3430,0,0,0,17855,0,2500
0,0,160000,1,1,46,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0,1,180000,0,1,28,-1,-1,2,0,0,0,390,1345,955,1565,2175,2159,1345,0,1000,1000,400,1000
0,1,170000,0,2,53,-2,-2,-2,-2,-2,-2,784,605,826,500,0,487,605,826,550,0,487,0
0,1,340000,0,2,47,0,0,0,0,0,0,196112,183453,167592,162628,142779,139548,6446,6207,5758,4853,4940,4600
0,0,50000,0,1,22,2,2,-2,-2,-2,-2,4536,0,0,0,0,0,0,0,0,0,0,0
1,0,210000,1,2,35,0,0,0,0,0,0,128595,131627,136428,54058,55398,56698,4606,6815,1800,2000,2000,2000
0,0,10000,1,2,23,0,0,-1,0,0,0,5583,8959,4408,9071,9038,5005,5000,7000,5000,5000,1000,10000
0,0,30000,0,2,27,0,0,2,2,2,2,21632,24267,24572,24872,25427,25860,3300,1000,1000,1100,1000,1100
0,0,70000,0,2,30,-1,0,0,0,0,0,69494,112821,70305,71017,66218,66854,2716,2570,2720,2350,2500,2660
1,1,110000,1,2,47,0,0,0,0,0,0,72897,72755,71698,72418,72293,73954,3290,3200,2700,2800,3000,2650
1,0,50000,0,1,25,0,0,2,0,0,0,40067,43099,42133,43127,44210,45844,4000,0,2000,1800,2500,5500
0,0,300000,0,1,27,-1,-1,-1,-1,0,0,4850,42189,83754,120927,105303,82475,42198,83754,120927,0,716,25213
0,0,360000,0,1,33,-2,-1,2,-1,0,0,0,883,887,26292,22279,550,883,4,26514,557,550,2500
0,1,300000,0,2,26,0,0,0,-1,0,0,29300,18988,6893,49379,49161,50646,1214,2000,49379,1500,2000,15000
1,0,80000,0,2,49,0,0,0,0,0,0,77347,61998,47941,47851,48804,50033,2384,5000,2000,1732,2000,3003
0,0,280000,0,1,39,0,0,0,0,0,0,97694,89690,86812,87813,88267,89676,4014,4300,4153,2900,2500,2600
1,1,210000,1,2,45,0,0,0,0,0,0,56024,57148,58338,59529,60720,61980,1836,1897,1936,1952,2013,9062
0,0,210000,0,1,27,0,0,0,0,0,0,135066,121769,97575,93763,95790,92855,5600,4000,3220,3400,3252,3400
0,0,50000,0,2,28,-2,-2,-1,0,0,0,13733,5570,2698,4640,6554,8434,2037,2698,2000,2000,2000,2000
1,1,30000,0,2,45,2,2,2,0,0,0,30330,30948,29480,28805,19733,16543,1400,0,928,602,768,1299
0,1,300000,0,1,51,0,0,0,0,-2,-2,143121,147527,148925,0,0,0,8269,6825,0,0,0,0
0,0,380000,1,1,42,-1,-1,-1,-1,-2,-1,4377,-3,3885,0,1140,505,0,3888,0,1140,505,0
0,0,30000,0,2,24,0,0,0,2,2,0,26755,27828,29103,29565,26319,27738,1507,2172,1523,0,2000,2000
0,1,90000,0,2,27,3,2,2,2,0,0,81701,85753,87510,85188,87112,169533,6000,4000,0,4200,3285,7787
0,1,300000,1,3,72,-1,-1,-1,-1,-1,2,4984,752,3737,1433,5522,3233,756,3753,1433,5522,0,27232
0,1,50000,0,3,43,-1,-1,-1,-2,-2,-2,150,809,-60,-210,-360,-510,809,0,0,0,0,0
0,0,80000,0,2,29,0,0,0,0,0,0,78626,78262,80000,82025,78521,78947,3400,3600,4000,3500,3000,4000
1,1,250000,0,2,38,2,0,0,0,0,0,236546,232795,189111,189558,185565,189003,8007,7000,8200,7000,7000,8000
1,1,440000,0,2,40,-1,-1,-1,-1,-1,-1,3278,2028,981,873,873,840,2035,982,874,874,841,7453
1,0,60000,0,2,29,0,0,0,0,0,2,60000,60594,57606,33159,36183,27572,3100,2000,3000,3800,0,2000
0,0,300000,0,2,37,1,-2,-2,-1,-1,-1,0,0,0,363,0,944,0,0,363,0,944,2000
0,1,350000,0,2,39,1,-2,-2,-2,-2,-2,0,0,0,0,590,0,0,0,0,590,0,0
0,0,470000,0,1,32,1,-2,-2,-1,-1,0,0,0,0,200,34325,37325,0,0,200,34325,3000,77412
0,1,200000,0,1,28,0,0,0,0,0,0,40559,44565,46815,52978,53970,56064,5000,3000,7000,2000,3000,3000
0,1,320000,0,1,30,-2,-2,-2,-2,-2,-2,1259,5152,4257,-3,-3,670,5177,4278,0,0,673,11288
0,1,90000,1,2,58,0,0,0,0,0,0,85818,88988,50780,50929,48735,49746,5100,2200,2200,1944,2200,2000
0,1,190000,1,3,38,0,0,0,0,0,0,94921,97397,99789,102131,104491,106755,4000,4000,4000,4000,4000,4000
0,0,80000,1,2,32,0,0,0,0,0,0,75149,76786,72626,29012,28653,28398,4003,3003,2003,1146,1403,1503
0,1,30000,0,2,33,2,2,0,0,0,0,29498,28718,29761,30203,29803,29803,1,2000,1400,0,0,67
0,0,70000,1,2,48,-1,-1,-1,-1,-1,-1,193,188,299,829,338,865,188,299,829,338,865,833
0,1,500000,1,1,42,0,0,0,0,0,0,580928,597793,597415,569034,551702,568638,25624,21898,20851,19599,26000,20000
0,1,120000,0,3,50,0,0,0,0,0,0,109372,111564,112482,115046,80987,85921,5500,4200,4552,3100,6416,0
0,1,150000,1,2,26,0,0,-1,0,0,0,69358,42457,92213,70406,70037,14461,4213,92457,5023,4311,7030,3054
0,1,50000,1,2,58,-1,-1,-1,2,2,-2,382,-286,954,1154,-572,-962,0,1908,764,0,0,0
0,1,90000,0,1,34,0,0,0,2,2,2,34302,35089,43449,42451,49718,48767,1640,9000,0,8000,0,2000
1,1,130000,1,1,43,0,0,0,0,0,0,121816,124223,62318,64214,44840,45969,6000,6000,3000,2000,2000,2000
0,0,130000,1,1,29,0,0,-1,-1,2,0,9700,0,72,10458,10149,11805,0,72,10458,0,2000,1230
0,0,50000,1,2,36,-1,0,0,0,0,0,3580,4597,5757,5869,5838,5971,1084,1244,356,212,230,205
0,0,60000,1,1,29,0,0,0,0,0,0,11976,13462,15231,16966,17878,19085,2000,2000,2000,1500,1500,1500
0,0,140000,0,2,26,0,0,0,0,2,0,141057,144306,141949,141345,136379,126211,7200,19000,10400,0,4931,9100
0,0,80000,1,1,35,0,0,-1,0,0,0,75734,93507,78716,53109,28973,24705,20000,79239,2516,1023,2000,1000
1,0,50000,0,3,22,0,0,-1,0,-1,-1,46811,40458,50622,42132,15311,19387,1036,50622,1149,15311,19387,385
0,0,240000,0,1,28,0,0,0,0,0,0,246310,250252,250169,249495,192368,196585,10500,9900,10907,7000,8000,7535
1,0,200000,0,3,40,0,0,0,2,0,0,44600,42954,44318,32010,33271,34297,3000,6032,0,3000,3000,3000
1,0,20000,1,2,31,2,2,2,2,0,0,13516,13996,14475,14936,15688,16435,1000,1000,1000,1000,1000,700
1,1,210000,0,2,56,1,-2,-2,-2,-2,-1,-325,-721,-1117,-1513,-1909,59017,0,0,0,0,61982,2200
0,0,200000,1,1,30,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,20271
0,1,400000,1,1,42,0,0,0,0,0,0,34084,36916,21089,22943,22994,25172,4085,1539,3013,3003,3003,5979
0,0,20000,1,2,30,2,2,2,2,0,0,13269,12391,12326,10621,10400,0,33,3317,0,1000,0,0
1,1,250000,1,2,53,0,0,2,0,0,0,177537,198017,192962,156134,161603,166631,25000,0,7000,8000,8000,5000
0,0,260000,0,1,30,-2,-2,-2,-2,-2,-2,893,2778,4052,977,977,452,2946,4052,977,977,452,2097
1,0,20000,1,2,47,0,0,0,0,0,0,15166,15014,16024,16345,17579,18750,1257,1267,588,1500,1500,0
0,1,50000,1,2,35,-1,-1,-1,-1,-1,0,780,0,390,390,28094,28263,0,390,390,28094,1011,965
1,0,210000,1,2,35,0,0,0,0,0,0,128595,131627,136428,54058,55398,56698,4606,6815,1800,2000,2000,2000
0,0,350000,1,2,34,-2,-2,-2,-2,-2,-2,2184,1445,2424,4582,5600,2927,1445,2424,4584,5610,2927,1298
0,0,50000,1,2,38,0,0,0,-2,-2,-2,26533,16426,0,0,0,0,1000,0,0,0,0,0
1,1,230000,0,3,39,1,2,-1,2,-1,0,6499,4791,4858,316,316,316,0,4858,0,632,0,2468
1,1,360000,0,2,38,-2,-1,-1,-1,-1,-1,0,212,3748,-2,666,919,212,3759,0,668,921,0
0,1,20000,0,3,49,0,0,0,0,0,0,12165,13171,14054,14900,15000,0,1517,1400,1200,300,0,0
0,0,120000,1,1,35,-1,-1,-1,-1,-1,2,326,326,176,-150,952,476,326,176,0,1428,0,476
0,1,150000,0,2,41,0,0,0,0,0,0,79021,77975,74749,80757,83685,81569,4023,3016,10000,4011,3073,3005
0,1,50000,0,2,24,0,0,0,0,0,0,49387,50284,50639,48563,49628,48293,2000,1727,1846,1777,1665,1500
0,1,110000,0,2,39,0,0,0,0,0,0,111533,110367,112974,108390,107180,107309,5500,5900,5500,5000,5000,4300
0,0,20000,1,2,31,-1,-1,-1,0,-1,-1,836,390,780,390,390,0,390,780,0,390,0,780
1,1,50000,1,3,51,0,0,0,0,0,0,47877,48519,46538,45465,18654,19042,2516,2106,2048,783,806,652
0,1,360000,0,2,25,-1,-1,-1,-1,-1,-1,442,442,442,442,434,442,444,444,444,436,452,886
0,1,80000,1,1,37,0,0,0,0,0,0,68553,69191,71918,71534,73344,75218,3000,3310,2200,2400,2500,2400
0,1,50000,1,2,35,0,0,0,0,0,0,47816,49694,48543,46366,9076,9812,3000,3000,3019,3000,1000,2000
1,1,140000,0,1,56,3,2,2,3,3,3,450,450,450,450,1450,1150,0,0,0,1000,0,0
0,0,60000,0,2,27,0,0,0,0,0,0,54900,55948,55188,55960,56564,57464,1971,2000,2003,2003,2070,2140
0,0,20000,1,2,45,-1,2,2,0,0,0,3213,4308,4093,4866,6781,7668,1300,0,1000,2000,1000,0
1,1,110000,0,3,36,0,0,-1,-1,-1,-2,2309,3238,250,3100,0,0,1002,450,3100,0,0,0
0,0,180000,0,3,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
1,1,80000,1,1,46,2,2,2,2,2,2,40509,40551,42592,43296,43892,43060,1000,3000,1700,1600,0,3500
0,1,150000,1,1,59,-2,-2,-2,-2,-2,-2,5066,2616,3766,3289,8356,10916,2616,4097,3371,8923,13919,8227
0,0,80000,0,2,27,-1,-1,-1,-1,-1,-2,390,390,0,780,0,0,390,390,780,0,0,0
1,0,500000,1,3,39,0,-1,-1,-1,-1,-1,32647,1832,1920,21734,1837,96,1832,1920,21734,1837,0,19637
1,1,500000,0,3,53,-2,-2,-2,-2,-2,-2,0,0,0,0,0,1150,0,0,0,0,1150,0
0,0,30000,0,2,23,2,0,0,2,2,2,16089,17127,19108,18503,20100,19629,1300,2272,0,1900,0,1000
0,0,50000,1,2,48,2,2,2,2,2,2,44489,45470,46424,45377,48441,47511,2000,2000,0,3800,0,1800
1,1,430000,1,3,47,1,-1,-1,-1,-1,-1,-18,6390,8833,9906,14239,9562,6408,8840,9954,14285,9584,26023
1,1,20000,1,1,42,3,2,2,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0
0,1,170000,0,3,26,2,2,2,0,0,0,63977,63630,51986,90196,50464,48282,2550,0,3500,3000,2001,3000
0,0,280000,1,1,41,-2,-2,-2,-2,-1,0,28026,41302,51500,35752,3955,13969,41346,52110,35752,3955,13939,4437
0,1,220000,0,1,36,0,0,0,0,0,0,210475,216513,196219,200117,204312,208373,9639,7123,7162,7419,7462,8621
0,1,210000,0,2,35,0,0,0,0,0,0,37148,35754,34232,32331,30337,28012,2000,2000,2444,1342,1038,2000
0,0,240000,0,1,35,-1,-1,-1,-1,-1,-1,380,380,380,380,0,380,380,380,380,0,380,760
0,0,50000,0,1,29,0,0,0,0,0,0,44498,41897,17304,16544,14787,15975,4000,4000,2000,3000,3000,3000
0,0,400000,0,1,28,-1,-1,2,0,0,0,6500,405016,391178,392932,394410,410127,405016,0,14000,13560,28000,0
0,1,80000,0,2,36,0,0,0,0,0,0,77998,77452,74773,76908,77068,78434,3700,3500,4000,3200,4000,2700
0,0,90000,0,1,32,-1,-1,-1,-1,-1,-1,1560,23153,835,5225,736,736,23153,17395,5225,736,736,886
0,0,60000,0,1,26,0,0,0,0,0,0,36604,35777,29836,30818,31314,30852,1765,1812,1794,1290,1268,1273
